
duration,count
3.0,14673
4.0,43393
5.0,47854
6.0,52767
7.0,53596
8.0,53737
9.0,49934
10.0,44259
11.0,38096
12.0,31615
13.0,25378
14.0,20450
15.0,15725
16.0,11509
17.0,8180
18.0,5703
19.0,3935
20.0,2874
21.0,2021
22.0,1586
23.0,1342
24.0,1034
25.0,944
26.0,747
27.0,629
28.0,475
29.0,417
30.0,340
31.0,331
32.0,241
33.0,225
34.0,188
35.0,172
36.0,158
37.0,136
38.0,134
39.0,114
40.0,98
41.0,92
42.0,102
43.0,63
44.0,87
45.0,70
46.0,67
47.0,65
48.0,90
49.0,68
50.0,55
51.0,64
52.0,54
53.0,38
54.0,53
55.0,61
56.0,50
57.0,46
58.0,42
59.0,44
60.0,49
61.0,49
62.0,37
63.0,30
64.0,39
65.0,46
66.0,37
67.0,31
68.0,23
69.0,41
70.0,33
71.0,30
72.0,20
73.0,29
74.0,31
75.0,22
76.0,27
77.0,10
78.0,29
79.0,16
80.0,22
81.0,31
82.0,27
83.0,29
84.0,20
85.0,14
86.0,19
87.0,17
88.0,29
89.0,14
90.0,21
91.0,21
92.0,18
93.0,25
94.0,22
95.0,31
96.0,27
97.0,21
98.0,23
99.0,17
100.0,21
101.0,14
102.0,15
