
start_station_name,end_station_name,count
2nd at Townsend,Harry Bridges Plaza (Ferry Building),4191
Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th),4022
Embarcadero at Sansome,Steuart at Market,3863
Steuart at Market,San Francisco Caltrain (Townsend at 4th),3393
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th),3326
Market at 10th,San Francisco Caltrain 2 (330 Townsend),3279
2nd at South Park,Market at Sansome,3183
Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),2798
Howard at 2nd,San Francisco Caltrain (Townsend at 4th),2785
Market at Sansome,San Francisco Caltrain (Townsend at 4th),2436
Townsend at 7th,Civic Center BART (7th at Market),2380
2nd at Townsend,Steuart at Market,2346
Mountain View City Hall,Mountain View Caltrain Station,2247
Steuart at Market,San Francisco Caltrain 2 (330 Townsend),2116
Santa Clara at Almaden,San Jose Diridon Caltrain Station,2104
Townsend at 7th,San Francisco Caltrain (Townsend at 4th),2102
San Francisco Caltrain 2 (330 Townsend),Powell Street BART,2087
Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain 2 (330 Townsend),2067
Beale at Market,San Francisco Caltrain (Townsend at 4th),2011
Harry Bridges Plaza (Ferry Building),San Francisco Caltrain (Townsend at 4th),2009
