
start_station_name,end_station_name,count
Harry Bridges Plaza (Ferry Building),2nd at Townsend,4509
Steuart at Market,2nd at Townsend,3759
San Francisco Caltrain 2 (330 Townsend),Townsend at 7th,3512
San Francisco Caltrain (Townsend at 4th),Embarcadero at Folsom,3364
San Francisco Caltrain (Townsend at 4th),Temporary Transbay Terminal (Howard at Beale),3126
San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building),2948
Market at Sansome,2nd at South Park,2934
Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome,2888
San Francisco Caltrain (Townsend at 4th),Steuart at Market,2790
Steuart at Market,Embarcadero at Sansome,2777
San Francisco Caltrain (Townsend at 4th),Market at Sansome,2718
Civic Center BART (7th at Market),Townsend at 7th,2683
Mountain View Caltrain Station,Mountain View City Hall,2667
San Francisco Caltrain (Townsend at 4th),Howard at 2nd,2560
San Francisco Caltrain 2 (330 Townsend),Market at 10th,2538
San Francisco Caltrain 2 (330 Townsend),Embarcadero at Folsom,2119
Powell Street BART,San Francisco Caltrain 2 (330 Townsend),2104
San Francisco Caltrain 2 (330 Townsend),Howard at 2nd,2055
Temporary Transbay Terminal (Howard at Beale),2nd at Townsend,2051
San Francisco Caltrain 2 (330 Townsend),5th at Howard,2013
