
start_station_name,latitude,longitude,count
San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526,38770
San Francisco Caltrain 2 (330 Townsend),37.7766,-122.39547,30345
Harry Bridges Plaza (Ferry Building),37.795392,-122.394203,19847
Temporary Transbay Terminal (Howard at Beale),37.789756,-122.394643,19033
Steuart at Market,37.794139,-122.394434,14854
2nd at Townsend,37.780526,-122.390288,10660
Grant Avenue at Columbus Avenue,37.7979,-122.405942,10115
Market at Sansome,37.789625,-122.400811,7793
Market at 10th,37.776619,-122.417385,7640
Embarcadero at Bryant,37.787152,-122.388013,7423
Civic Center BART (7th at Market),37.781039,-122.411748,7402
Beale at Market,37.792251,-122.397086,7079
Townsend at 7th,37.771058,-122.402717,6258
Embarcadero at Sansome,37.80477,-122.403234,6209
San Jose Diridon Caltrain Station,37.329732,-121.901782,5677
South Van Ness at Market,37.774814,-122.418954,5659
Powell Street BART,37.783871,-122.408433,5607
Powell at Post (Union Square),37.788446,-122.408499,4941
2nd at South Park,37.782259,-122.392738,4593
Mountain View Caltrain Station,37.394358,-122.076713,4505
2nd at Folsom,37.785299,-122.396236,4470
Golden Gate at Polk,37.781332,-122.418603,4060
Spear at Folsom,37.790302,-122.390637,3909
5th at Howard,37.781752,-122.405127,3724
Market at 4th,37.786305,-122.404966,3617
Embarcadero at Folsom,37.791464,-122.391034,3477
Howard at 2nd,37.786978,-122.398108,3287
Mechanics Plaza (Market at Battery),37.7913,-122.399051,2669
Davis at Jackson,37.79728,-122.398436,2596
Broadway St at Battery St,37.798541,-122.400862,2523
Commercial at Montgomery,37.794231,-122.402923,1863
San Francisco City Hall,37.77865,-122.418235,1796
Yerba Buena Center of the Arts (3rd @ Howard),37.784878,-122.401014,1778
Palo Alto Caltrain Station,37.443988,-122.164759,1457
Clay at Battery,37.795001,-122.39997,1381
Ryland Park,37.342725,-121.895617,1267
Redwood City Caltrain Station,37.486078,-122.232089,1105
San Antonio Caltrain Station,37.40694,-122.106758,1069
Japantown,37.348742,-121.894715,762
Santa Clara at Almaden,37.333988,-121.894902,730
Paseo de San Antonio,37.333798,-121.886943,647
SJSU - San Salvador at 9th,37.333955,-121.877349,643
Mountain View City Hall,37.389218,-122.081896,633
Embarcadero at Vallejo,37.799953,-122.398525,603
Cowper at University,37.448598,-122.159504,500
MLK Library,37.335885,-121.88566,493
Castro Street and El Camino Real,37.385956,-122.083678,423
San Salvador at 1st,37.330165,-121.885831,392
San Antonio Shopping Center,37.400443,-122.108338,387
St James Park,37.339301,-121.889937,316
Washington at Kearney,37.795425,-122.404767,278
San Pedro Square,37.336721,-121.894074,265
Post at Kearney,37.788975,-122.403452,232
San Jose Civic Center,37.330698,-121.888979,209
Mezes Park,37.491269,-122.236234,178
San Jose City Hall,37.337391,-121.886995,130
SJSU 4th at San Carlos,37.332808,-121.883891,116
University and Emerson,37.444521,-122.163093,102
Adobe on Almaden,37.331415,-121.8932,69
California Ave Caltrain Station,37.429082,-122.142805,66
Arena Green / SAP Center,37.332692,-121.900084,65
Park at Olive,37.4256839,-122.1377775,65
Franklin at Maple,37.481758,-122.226904,51
Stanford in Redwood City,37.48537,-122.203288,50
5th St at Folsom St,37.780148,-122.403158,40
San Mateo County Center,37.487616,-122.229951,28
Charleston Park/ North Bayshore Area,37.420909,-122.080623,27
Redwood City Public Library,37.484219,-122.227424,21
Redwood City Medical Center,37.487682,-122.223492,21
Santa Clara County Civic Center,37.352601,-121.905733,16
Cyril Magnin St at Ellis St,37.785908,-122.408891,11
Middlefield Light Rail Station,37.395337,-122.052476,4
