
end_station_name,count
San Francisco Caltrain (Townsend at 4th),44821
San Francisco Caltrain 2 (330 Townsend),31126
Harry Bridges Plaza (Ferry Building),17932
Steuart at Market,14960
Temporary Transbay Terminal (Howard at Beale),14676
Market at Sansome,10597
2nd at Townsend,9397
Embarcadero at Sansome,8050
Powell Street BART,7304
Townsend at 7th,7020
Civic Center BART (7th at Market),6772
San Jose Diridon Caltrain Station,6106
Embarcadero at Bryant,6097
Market at 10th,5222
Market at 4th,4911
Mountain View Caltrain Station,4416
Beale at Market,4264
5th at Howard,4129
2nd at South Park,3830
South Van Ness at Market,3797
