
start_station_name,count
Townsend at 7th,13906
San Francisco Caltrain (Townsend at 4th),13441
2nd at Townsend,13213
Embarcadero at Sansome,11841
Market at Sansome,10956
2nd at South Park,10457
Steuart at Market,10253
San Francisco Caltrain 2 (330 Townsend),9755
Temporary Transbay Terminal (Howard at Beale),9739
Embarcadero at Folsom,9471
Market at 10th,9469
2nd at Folsom,8908
Howard at 2nd,8819
Market at 4th,7824
Broadway St at Battery St,7238
Commercial at Montgomery,7085
Harry Bridges Plaza (Ferry Building),7043
Beale at Market,6710
Embarcadero at Vallejo,6568
5th at Howard,6150
